Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
Training,30,58,management,married,secondary,no,-382,no,no,cellular,31,jul,644,12,-1,0,unknown,yes
Training,31,32,management,married,secondary,no,2858,yes,yes,cellular,18,jul,247,5,-1,0,unknown,no
Training,32,59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304,1,-1,0,unknown,no
Training,33,31,management,single,tertiary,no,385,yes,no,unknown,21,may,304,1,-1,0,unknown,no
Training,34,43,admin.,single,unknown,no,87,yes,no,unknown,7,may,328,2,-1,0,unknown,no
Training,35,40,self-employed,married,primary,no,771,yes,no,unknown,14,may,166,1,-1,0,unknown,no
Training,36,47,admin.,single,secondary,no,2540,no,no,cellular,18,nov,110,5,-1,0,unknown,no
Training,37,43,technician,married,secondary,no,5342,yes,no,unknown,29,may,689,2,-1,0,unknown,no
Training,38,35,blue-collar,married,secondary,no,-258,yes,no,cellular,9,jul,219,1,-1,0,unknown,no
Training,39,42,technician,single,secondary,no,-15,no,no,unknown,25,jun,71,1,-1,0,unknown,no
Training,40,29,admin.,divorced,secondary,no,120,no,yes,cellular,3,feb,197,1,-1,0,unknown,no
Training,41,46,blue-collar,married,primary,no,0,yes,no,unknown,14,may,73,1,-1,0,unknown,no
Training,42,53,blue-collar,married,secondary,no,392,no,no,cellular,26,aug,95,6,-1,0,unknown,no
Training,43,60,services,married,tertiary,no,6557,no,no,cellular,7,aug,214,2,-1,0,unknown,no
Training,44,27,technician,married,secondary,no,594,yes,no,unknown,27,jun,433,4,-1,0,unknown,no
Training,45,44,technician,divorced,unknown,no,759,yes,no,unknown,23,may,397,1,-1,0,unknown,no
Training,46,51,services,married,secondary,no,753,yes,no,cellular,7,may,541,2,-1,0,unknown,no
Training,47,41,admin.,married,secondary,no,3634,yes,no,unknown,14,may,216,1,-1,0,unknown,no
Training,48,54,blue-collar,married,secondary,no,853,no,no,unknown,16,jun,24,5,-1,0,unknown,no
Training,49,23,admin.,single,secondary,no,589,yes,no,cellular,6,may,62,1,-1,0,unknown,no
Training,50,54,admin.,divorced,secondary,no,1872,no,no,cellular,13,feb,439,5,-1,0,unknown,yes
Training,51,39,services,married,secondary,no,207,no,no,unknown,6,jun,78,2,-1,0,unknown,no
Training,52,56,retired,married,primary,no,340,yes,no,cellular,21,jul,1220,1,-1,0,unknown,no
Training,53,32,admin.,divorced,secondary,no,-19,yes,no,unknown,30,may,97,2,-1,0,unknown,no
Training,54,31,entrepreneur,single,tertiary,no,95,no,no,cellular,25,aug,51,5,-1,0,unknown,no
Training,55,22,blue-collar,single,secondary,no,3992,yes,yes,unknown,19,may,194,2,-1,0,unknown,no
Training,56,25,admin.,single,tertiary,no,1420,no,no,cellular,8,apr,124,2,-1,0,unknown,no
Training,57,39,management,married,tertiary,no,622,no,no,cellular,22,may,181,2,184,1,failure,no
Training,58,30,blue-collar,married,primary,no,453,yes,no,unknown,21,may,445,2,-1,0,unknown,no
Training,59,42,management,married,tertiary,no,157,yes,yes,cellular,28,jan,136,1,-1,0,unknown,no
Training,60,45,blue-collar,married,secondary,no,247,yes,no,cellular,8,may,157,1,-1,0,unknown,no
Training,61,58,technician,married,primary,no,16119,no,no,telephone,20,nov,188,2,-1,0,unknown,no
Training,62,34,technician,married,secondary,no,268,no,no,cellular,11,aug,47,4,-1,0,unknown,no
Training,63,33,blue-collar,married,secondary,no,2502,yes,no,cellular,20,apr,285,1,270,1,failure,no
Training,64,26,management,single,tertiary,no,350,no,no,cellular,8,jul,367,1,-1,0,unknown,no
Training,65,56,unemployed,married,secondary,no,733,yes,no,unknown,20,jun,21,3,-1,0,unknown,no
Training,66,53,blue-collar,married,primary,no,241,yes,no,cellular,16,apr,1410,1,325,2,failure,no
Training,67,31,blue-collar,single,tertiary,no,328,yes,no,cellular,20,nov,89,1,-1,0,unknown,no
Training,68,27,blue-collar,single,secondary,no,294,yes,yes,unknown,28,may,694,2,-1,0,unknown,yes
Training,69,28,admin.,single,secondary,no,520,yes,no,cellular,30,nov,113,1,168,1,failure,no
Training,70,31,self-employed,married,tertiary,no,81,yes,no,cellular,16,jul,57,8,-1,0,unknown,no
Training,71,37,blue-collar,single,primary,no,1210,no,no,unknown,4,jul,742,1,-1,0,unknown,no
Training,72,39,management,married,tertiary,no,-4,no,no,cellular,10,jul,358,1,-1,0,unknown,no
Training,73,35,technician,married,secondary,no,295,yes,no,unknown,29,may,882,2,-1,0,unknown,no
Training,74,30,services,single,secondary,no,326,yes,no,cellular,14,may,197,4,-1,0,unknown,no
Training,75,26,services,single,secondary,no,1050,yes,no,unknown,2,jun,118,3,-1,0,unknown,no
Training,76,38,technician,married,secondary,no,0,no,no,cellular,25,aug,431,5,-1,0,unknown,no
Training,77,78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,0,unknown,yes
Training,78,27,self-employed,single,tertiary,no,5214,yes,no,unknown,28,may,94,1,-1,0,unknown,no
Training,79,47,management,married,secondary,no,414,no,no,cellular,26,aug,142,2,-1,0,unknown,no
Training,80,52,blue-collar,married,secondary,no,2206,yes,no,unknown,15,may,875,5,-1,0,unknown,no
Training,81,26,student,single,secondary,no,5296,no,no,cellular,5,mar,229,1,205,1,failure,yes
Training,82,47,entrepreneur,divorced,secondary,no,392,yes,yes,cellular,19,nov,125,1,-1,0,unknown,no
Training,83,48,blue-collar,married,primary,no,575,no,no,unknown,15,may,101,3,-1,0,unknown,no
Training,84,44,management,single,secondary,no,421,no,yes,cellular,5,aug,307,1,-1,0,unknown,no
Training,85,43,entrepreneur,married,secondary,no,128,yes,no,telephone,7,jul,122,2,-1,0,unknown,no
Training,86,55,housemaid,married,tertiary,no,4235,no,no,cellular,7,aug,973,4,-1,0,unknown,no
Training,87,29,blue-collar,single,secondary,no,415,no,yes,cellular,28,jan,161,1,-1,0,unknown,no
Training,88,39,blue-collar,divorced,secondary,no,150,no,no,cellular,29,jul,735,4,-1,0,unknown,no
Training,89,58,retired,married,primary,no,-102,yes,yes,cellular,27,aug,80,10,-1,0,unknown,no
Training,90,66,retired,married,secondary,no,4785,no,no,cellular,13,aug,72,3,-1,0,unknown,no
Training,91,55,management,married,tertiary,no,0,no,no,cellular,22,aug,64,2,-1,0,unknown,no
Training,92,44,technician,married,secondary,no,7876,yes,no,cellular,20,nov,212,1,101,2,failure,no
Training,93,43,blue-collar,divorced,primary,no,-76,yes,no,cellular,14,jul,124,3,-1,0,unknown,no
Training,94,34,technician,married,secondary,no,672,no,no,cellular,23,jul,158,3,-1,0,unknown,no
Training,95,44,admin.,married,tertiary,no,348,yes,yes,cellular,16,feb,170,2,-1,0,unknown,yes
Training,96,31,admin.,single,secondary,no,547,yes,no,cellular,29,jan,272,1,-1,0,unknown,no
Training,97,41,technician,married,secondary,no,994,no,no,cellular,22,aug,117,4,-1,0,unknown,no
Training,98,34,admin.,divorced,secondary,no,627,yes,no,unknown,7,may,283,2,-1,0,unknown,no
Training,99,45,admin.,divorced,secondary,no,660,yes,no,unknown,15,may,71,2,-1,0,unknown,no
Training,100,46,blue-collar,married,secondary,no,7,no,no,unknown,17,jun,110,2,-1,0,unknown,no
Training,101,47,technician,married,tertiary,no,1115,yes,no,telephone,23,jul,18,9,-1,0,unknown,no
Training,102,45,blue-collar,married,primary,no,0,yes,no,cellular,21,jul,81,4,-1,0,unknown,no
Training,103,26,management,married,tertiary,no,265,no,no,cellular,30,jan,650,2,-1,0,unknown,no
Training,104,37,technician,married,secondary,yes,-143,yes,no,cellular,4,feb,95,1,-1,0,unknown,no
Training,105,30,technician,single,secondary,no,846,no,no,cellular,2,nov,75,2,-1,0,unknown,no
Training,106,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes
Training,107,30,blue-collar,married,secondary,no,618,no,no,cellular,21,nov,78,6,-1,0,unknown,no
Training,108,52,management,married,tertiary,no,0,no,no,cellular,2,jun,77,3,-1,0,unknown,no
Training,109,32,services,single,secondary,no,2478,no,yes,cellular,20,nov,395,1,-1,0,unknown,no
Training,110,38,technician,married,secondary,no,6975,no,no,unknown,9,jun,186,3,-1,0,unknown,no
Training,111,57,management,married,tertiary,no,2266,no,no,cellular,5,aug,306,1,-1,0,unknown,no
Training,112,36,self-employed,single,tertiary,no,583,no,no,cellular,30,jan,859,1,235,1,other,no
Training,113,50,management,divorced,tertiary,no,60,no,no,cellular,19,aug,255,2,-1,0,unknown,no
Training,114,37,entrepreneur,married,tertiary,no,986,no,no,cellular,11,jul,970,2,-1,0,unknown,no
Training,115,69,housemaid,married,primary,no,1080,no,no,cellular,22,apr,164,2,-1,0,unknown,no
Training,116,58,entrepreneur,married,tertiary,no,364,yes,no,cellular,30,jan,168,1,-1,0,unknown,no
Training,117,31,technician,married,tertiary,no,344,no,no,cellular,8,aug,62,3,-1,0,unknown,no
Training,118,30,self-employed,single,tertiary,no,901,yes,yes,unknown,16,may,601,1,-1,0,unknown,no
Training,119,34,unemployed,married,tertiary,no,473,no,no,cellular,28,aug,94,11,-1,0,unknown,no
Training,120,59,retired,married,unknown,no,140,no,yes,unknown,3,jul,239,1,-1,0,unknown,no
Training,121,36,blue-collar,married,secondary,no,1550,no,no,cellular,31,jul,17,3,-1,0,unknown,no
Training,122,37,admin.,divorced,secondary,no,241,yes,yes,cellular,30,jul,55,25,-1,0,unknown,no
Training,123,34,management,divorced,tertiary,no,224,no,no,unknown,3,jun,120,11,-1,0,unknown,no
Training,124,43,management,married,tertiary,no,0,no,no,unknown,16,jun,46,1,-1,0,unknown,no
Training,125,39,management,married,secondary,no,2445,no,no,unknown,16,jun,303,5,-1,0,unknown,no
Training,126,40,blue-collar,married,secondary,no,0,no,no,cellular,25,jul,96,2,-1,0,unknown,no
Training,127,41,technician,married,secondary,no,102,yes,yes,unknown,14,may,387,9,-1,0,unknown,no
Training,128,34,admin.,single,secondary,no,296,no,no,cellular,20,nov,68,1,136,4,failure,no
Training,129,57,blue-collar,married,primary,no,93,yes,no,telephone,17,apr,137,1,-1,0,unknown,no
Training,130,28,blue-collar,single,secondary,no,1364,yes,no,cellular,5,feb,75,2,-1,0,unknown,no
Training,131,47,unknown,married,secondary,no,74,no,no,cellular,8,aug,88,2,-1,0,unknown,no
Training,132,44,technician,married,secondary,no,-393,no,no,cellular,9,feb,45,6,-1,0,unknown,no
Training,133,51,services,divorced,secondary,no,234,no,no,cellular,9,jul,281,3,-1,0,unknown,no
Training,134,30,management,single,tertiary,no,19796,no,no,cellular,20,nov,41,1,-1,0,unknown,no
Training,135,50,retired,married,primary,no,1098,no,no,unknown,17,jun,168,1,-1,0,unknown,no
Training,136,37,management,married,tertiary,no,49,no,yes,cellular,22,aug,132,1,-1,0,unknown,no
Training,137,39,services,married,secondary,no,-540,no,no,unknown,6,jun,29,1,-1,0,unknown,no
Training,138,46,entrepreneur,married,primary,no,829,no,yes,telephone,21,nov,81,7,-1,0,unknown,no
Training,139,48,admin.,divorced,secondary,no,955,yes,no,cellular,4,feb,108,2,265,3,other,no
Training,140,38,blue-collar,single,secondary,no,48,no,no,unknown,19,jun,43,3,-1,0,unknown,no
Training,141,39,technician,married,secondary,no,22,no,no,cellular,21,aug,76,2,-1,0,unknown,no
Training,142,35,blue-collar,married,secondary,no,807,yes,no,unknown,29,may,1185,3,-1,0,unknown,no
Training,143,33,management,single,tertiary,no,2294,yes,no,cellular,18,may,81,1,178,1,other,no
Training,144,38,services,married,secondary,no,3259,yes,no,unknown,19,may,241,1,-1,0,unknown,no
Training,145,34,management,single,tertiary,no,151,yes,no,cellular,20,apr,7,4,-1,0,unknown,no
Training,146,35,blue-collar,married,unknown,no,520,yes,no,cellular,17,apr,476,1,-1,0,unknown,yes
Training,147,43,technician,married,secondary,no,136,no,no,cellular,25,aug,363,7,-1,0,unknown,yes
Training,148,68,retired,married,primary,no,0,no,no,telephone,15,jan,814,1,-1,0,unknown,no
Training,149,42,housemaid,married,unknown,no,72,no,no,unknown,16,jun,22,1,-1,0,unknown,no
Training,150,51,technician,married,tertiary,no,1121,no,no,cellular,27,aug,68,4,-1,0,unknown,no
Training,151,32,admin.,married,tertiary,no,390,yes,yes,cellular,5,may,100,1,243,1,other,no
Training,152,26,services,single,secondary,no,162,yes,no,cellular,2,mar,185,2,130,8,other,no
Training,153,38,management,single,tertiary,no,8,yes,no,cellular,28,jul,219,2,-1,0,unknown,no
Training,154,24,student,single,secondary,no,1123,no,no,cellular,13,jul,475,1,412,1,other,yes
Training,155,34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
Training,156,31,management,single,tertiary,no,796,no,yes,cellular,21,nov,150,1,-1,0,unknown,no
Training,157,28,services,single,secondary,no,198,no,no,cellular,7,jul,159,1,-1,0,unknown,no
Training,158,31,management,single,tertiary,no,4319,yes,no,cellular,29,apr,153,4,161,1,failure,no
Training,159,41,admin.,married,secondary,no,16517,no,no,cellular,18,nov,1268,2,-1,0,unknown,no
Training,160,29,blue-collar,married,primary,no,50,no,no,cellular,8,jul,185,2,-1,0,unknown,no
Training,161,40,technician,married,primary,no,210,yes,no,cellular,12,may,22,4,-1,0,unknown,no
Training,162,58,management,married,tertiary,no,0,yes,no,cellular,18,nov,265,1,188,1,failure,no
Training,163,40,entrepreneur,married,tertiary,no,865,no,no,cellular,21,nov,170,2,-1,0,unknown,no
Training,164,56,housemaid,married,primary,no,0,yes,yes,cellular,11,jul,118,2,-1,0,unknown,no
Training,165,48,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,apr,74,2,-1,0,unknown,no
Training,166,66,housemaid,married,secondary,no,1929,no,no,cellular,2,feb,169,1,-1,0,unknown,no
Training,167,32,technician,married,tertiary,no,415,no,no,unknown,23,may,76,2,-1,0,unknown,no
Training,168,23,admin.,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,unknown,no
Training,169,52,self-employed,married,tertiary,no,6657,no,no,telephone,30,apr,917,1,-1,0,unknown,yes
Training,170,40,management,married,tertiary,no,-130,yes,no,unknown,28,may,154,2,-1,0,unknown,no
Training,171,48,services,married,primary,no,337,no,no,cellular,25,aug,770,12,-1,0,unknown,no
Training,172,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown,yes
Training,173,47,blue-collar,married,primary,no,421,yes,yes,unknown,5,jun,52,1,-1,0,unknown,no
Training,174,43,services,single,secondary,no,21,no,no,cellular,3,feb,203,3,-1,0,unknown,no
Training,175,80,housemaid,married,primary,no,0,no,no,cellular,23,feb,639,1,189,1,failure,yes
Training,176,33,retired,married,secondary,no,165,no,no,unknown,7,may,111,1,-1,0,unknown,no
Training,177,27,management,single,secondary,no,-403,yes,no,cellular,21,jul,54,3,-1,0,unknown,no
Training,178,46,blue-collar,married,secondary,no,1728,yes,no,unknown,26,may,50,2,-1,0,unknown,no
Training,179,42,admin.,married,secondary,no,1455,yes,no,cellular,6,may,364,4,-1,0,unknown,no
Training,180,37,technician,divorced,secondary,no,141,yes,no,cellular,6,may,848,1,364,3,failure,yes
Training,181,37,services,married,secondary,no,812,yes,yes,cellular,11,may,184,2,-1,0,unknown,no
Training,182,55,blue-collar,married,secondary,no,467,no,no,cellular,25,aug,129,5,-1,0,unknown,no
Training,183,26,admin.,single,secondary,no,-378,no,yes,cellular,8,jul,165,1,-1,0,unknown,no
Training,184,31,management,single,tertiary,no,4509,yes,no,unknown,12,may,207,3,-1,0,unknown,no
Training,185,54,entrepreneur,married,tertiary,no,651,yes,yes,cellular,22,jul,121,2,-1,0,unknown,no
Training,186,50,management,married,tertiary,no,3191,no,no,unknown,16,jun,535,2,-1,0,unknown,no
Training,187,42,admin.,married,secondary,no,2918,yes,no,unknown,15,may,349,2,-1,0,unknown,no
Training,188,35,admin.,married,secondary,no,2374,yes,no,cellular,11,aug,765,2,183,5,success,yes
Training,189,39,blue-collar,divorced,secondary,yes,-202,yes,yes,cellular,15,may,157,4,-1,0,unknown,no
Training,190,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
Training,191,36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,1,-1,0,unknown,no
Training,192,41,blue-collar,married,primary,no,438,no,no,cellular,5,feb,46,1,-1,0,unknown,no
Training,193,50,entrepreneur,married,secondary,no,665,no,no,telephone,17,nov,238,1,-1,0,unknown,no
Training,194,51,technician,married,secondary,no,1490,yes,no,cellular,18,jul,227,2,-1,0,unknown,no
Training,195,42,management,married,tertiary,no,223,no,no,cellular,6,aug,92,6,-1,0,unknown,no
Training,196,30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,3,149,2,failure,yes
Training,197,32,technician,single,tertiary,no,543,no,no,cellular,11,aug,385,3,-1,0,unknown,no
Training,198,59,retired,divorced,secondary,no,0,no,no,unknown,20,jun,13,5,-1,0,unknown,no
Training,199,39,blue-collar,married,secondary,no,2299,yes,no,cellular,20,apr,450,1,271,1,failure,no
Training,200,42,blue-collar,divorced,primary,no,213,yes,no,cellular,7,jul,434,3,-1,0,unknown,yes
Training,201,33,blue-collar,married,secondary,yes,-266,yes,yes,cellular,3,feb,16,7,-1,0,unknown,no
Training,202,42,technician,married,secondary,no,649,yes,no,telephone,31,jul,29,4,-1,0,unknown,no
Training,203,45,admin.,married,secondary,no,434,no,yes,cellular,24,jul,180,19,-1,0,unknown,no
Training,204,35,student,single,unknown,no,0,no,no,telephone,28,jan,122,3,-1,0,unknown,no
Training,205,27,admin.,married,tertiary,no,73,no,no,cellular,10,feb,159,1,-1,0,unknown,yes
Training,206,47,blue-collar,married,primary,no,328,yes,no,cellular,7,may,58,1,-1,0,unknown,no
Training,207,30,blue-collar,married,secondary,no,363,yes,no,cellular,3,feb,165,1,-1,0,unknown,no
Training,208,52,technician,single,secondary,no,1262,no,yes,cellular,17,nov,216,1,-1,0,unknown,no
Training,209,33,services,married,secondary,no,403,yes,no,unknown,20,may,274,2,-1,0,unknown,no
Training,210,41,technician,single,tertiary,no,431,no,no,cellular,23,jul,196,1,88,5,failure,yes
Training,211,32,admin.,single,secondary,no,-45,yes,no,cellular,20,apr,68,1,325,2,other,no
Training,212,36,management,married,tertiary,no,446,yes,no,telephone,16,jul,174,5,-1,0,unknown,no
Training,213,31,technician,single,secondary,no,36,no,no,cellular,20,aug,99,3,-1,0,unknown,no
Training,214,46,management,single,secondary,no,5993,no,no,cellular,22,sep,159,1,112,1,failure,no
Training,215,51,technician,married,secondary,no,-192,yes,no,telephone,11,jul,57,1,-1,0,unknown,no
Training,216,46,blue-collar,married,secondary,no,-27,yes,no,cellular,11,may,254,1,-1,0,unknown,no
Training,217,56,admin.,divorced,primary,no,179,yes,no,unknown,12,may,306,2,-1,0,unknown,no
Training,218,55,management,married,tertiary,no,10957,no,no,unknown,11,jun,514,4,-1,0,unknown,no
Training,219,31,technician,single,tertiary,no,985,yes,no,cellular,17,apr,997,1,57,2,failure,yes
Training,220,30,management,single,tertiary,no,835,yes,no,cellular,4,aug,81,1,-1,0,unknown,no
Training,221,36,blue-collar,single,secondary,no,767,no,no,cellular,5,feb,77,1,-1,0,unknown,no
Training,222,55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91,1,success,yes
Training,223,30,admin.,married,tertiary,no,0,yes,no,cellular,24,jul,209,2,-1,0,unknown,no
Training,224,21,student,single,secondary,no,2488,no,no,cellular,12,oct,180,1,-1,0,unknown,yes
Training,225,34,student,single,unknown,no,1281,no,no,cellular,25,aug,279,1,117,1,failure,no
Training,226,42,technician,single,secondary,no,1977,no,no,cellular,17,jul,72,6,-1,0,unknown,no
Training,227,46,management,married,tertiary,no,349,no,no,cellular,14,may,466,4,88,3,success,yes
Training,228,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
Training,229,32,housemaid,married,secondary,no,156,no,yes,cellular,28,aug,82,4,-1,0,unknown,no
Training,230,38,services,married,secondary,no,4582,yes,no,telephone,16,apr,193,1,314,4,other,no
Training,231,51,self-employed,married,secondary,yes,-206,no,yes,cellular,28,jul,51,3,-1,0,unknown,no
Training,232,53,technician,married,secondary,no,10185,no,no,cellular,23,mar,115,1,-1,0,unknown,yes
Training,233,50,management,married,secondary,no,1165,no,no,cellular,16,jul,455,1,-1,0,unknown,yes
Training,234,34,unemployed,divorced,tertiary,yes,530,yes,no,cellular,7,may,57,1,-1,0,unknown,no
Training,235,43,blue-collar,married,primary,no,-476,yes,no,unknown,26,may,16,1,-1,0,unknown,no
Training,236,33,management,single,tertiary,no,8038,yes,no,cellular,19,nov,60,1,-1,0,unknown,no
Training,237,30,services,divorced,secondary,no,-94,yes,no,cellular,14,jul,41,2,-1,0,unknown,no
Training,238,32,technician,single,tertiary,no,720,no,no,cellular,12,aug,234,4,-1,0,unknown,no
Training,239,47,entrepreneur,married,tertiary,no,459,yes,no,cellular,29,jul,189,4,-1,0,unknown,no
Training,240,30,technician,single,tertiary,no,4561,yes,no,cellular,14,aug,103,2,-1,0,unknown,no
Training,241,24,management,single,secondary,no,653,yes,no,unknown,27,jun,247,3,-1,0,unknown,no
Training,242,49,services,married,secondary,no,220,yes,no,cellular,28,jul,93,11,-1,0,unknown,no
Training,243,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown,no
Training,244,52,technician,divorced,tertiary,no,0,no,no,cellular,19,aug,119,2,-1,0,unknown,no
Training,245,32,admin.,single,secondary,no,116,no,yes,cellular,16,jul,255,2,-1,0,unknown,no
Training,246,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
Training,247,30,admin.,single,secondary,no,3809,yes,no,unknown,3,jun,159,4,-1,0,unknown,no
Training,248,44,technician,married,secondary,no,10888,yes,no,cellular,5,aug,163,1,-1,0,unknown,no
Training,249,84,retired,married,tertiary,no,4761,no,no,telephone,9,sep,1405,1,92,3,failure,yes
Training,250,34,entrepreneur,married,secondary,no,1368,yes,no,cellular,18,nov,252,2,-1,0,unknown,no
Training,251,55,unemployed,married,secondary,no,377,no,no,cellular,8,oct,403,1,183,1,success,no
Training,252,59,blue-collar,married,secondary,no,169,yes,no,unknown,16,may,181,3,-1,0,unknown,no
Training,253,38,management,single,tertiary,no,4841,no,no,cellular,22,may,580,3,-1,0,unknown,no
Training,254,50,blue-collar,divorced,secondary,no,-54,no,no,cellular,24,jul,513,3,-1,0,unknown,no
Training,255,33,management,single,tertiary,no,1590,no,no,cellular,29,jan,57,1,-1,0,unknown,no
Training,256,32,student,single,unknown,no,2321,no,no,cellular,30,mar,167,2,-1,0,unknown,no
Training,257,36,services,single,secondary,no,-295,yes,yes,unknown,27,may,132,3,-1,0,unknown,no
Training,258,48,technician,single,tertiary,no,104,yes,no,cellular,5,may,124,2,344,1,other,no
Training,259,57,admin.,married,secondary,no,407,yes,yes,cellular,15,may,166,3,-1,0,unknown,no
Training,260,32,admin.,single,secondary,no,5,yes,no,unknown,12,may,593,2,-1,0,unknown,no
Training,261,41,technician,married,secondary,no,1278,no,no,unknown,19,jun,532,1,-1,0,unknown,no
Training,262,54,management,married,tertiary,no,446,no,no,cellular,2,jun,122,2,91,8,failure,no
Training,263,33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,10,7,failure,yes
Training,264,30,services,married,secondary,no,637,yes,no,cellular,15,may,69,5,-1,0,unknown,no
Training,265,34,self-employed,married,secondary,no,47,no,no,cellular,4,feb,362,2,169,2,failure,no
Training,266,38,blue-collar,married,primary,no,14,yes,yes,cellular,12,may,317,2,-1,0,unknown,no
Training,267,33,management,single,tertiary,no,238,no,no,cellular,8,aug,80,2,-1,0,unknown,no
Training,268,34,management,married,tertiary,no,11,yes,no,cellular,17,jul,654,1,-1,0,unknown,no
Training,269,51,self-employed,single,tertiary,no,0,yes,no,cellular,11,jul,139,2,-1,0,unknown,no
Training,270,37,management,married,tertiary,no,-9,no,no,cellular,29,aug,168,2,-1,0,unknown,no
Training,271,44,self-employed,married,secondary,no,5068,no,no,cellular,8,jul,256,2,-1,0,unknown,no
Training,272,26,management,married,tertiary,no,243,no,no,cellular,26,may,482,1,-1,0,unknown,yes
Training,273,27,housemaid,married,secondary,no,0,no,yes,cellular,17,jul,72,1,-1,0,unknown,no
Training,274,24,student,married,unknown,no,146,no,no,cellular,16,apr,176,1,-1,0,unknown,no
Training,275,32,technician,married,secondary,no,3271,no,no,cellular,12,feb,375,1,374,1,other,yes
Training,276,50,technician,divorced,secondary,no,0,no,no,cellular,29,sep,159,1,120,2,failure,yes
Training,277,46,entrepreneur,married,tertiary,no,2262,no,no,telephone,14,jul,44,14,-1,0,unknown,no
Training,278,58,management,divorced,tertiary,no,0,no,no,cellular,22,aug,73,3,-1,0,unknown,no
Training,279,46,technician,married,secondary,no,68,yes,yes,unknown,16,jun,87,3,-1,0,unknown,no
