Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
Training,59,41,blue-collar,married,primary,no,241,yes,no,cellular,20,apr,170,1,150,1,failure
Training,60,55,blue-collar,married,primary,no,2490,no,no,telephone,25,jul,106,3,-1,0,unknown
Training,61,30,services,married,secondary,no,-68,yes,yes,cellular,24,jul,78,1,-1,0,unknown
Training,62,31,services,married,secondary,no,182,no,no,cellular,20,aug,231,2,-1,0,unknown
Training,63,40,entrepreneur,married,tertiary,no,121,yes,no,cellular,22,jul,80,1,-1,0,unknown
Training,64,50,management,married,tertiary,no,4315,yes,no,cellular,22,jul,181,11,-1,0,unknown
Training,65,57,blue-collar,married,primary,no,403,yes,no,telephone,17,feb,63,2,-1,0,unknown
Training,66,37,management,single,tertiary,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown
Training,67,39,management,married,secondary,no,313,yes,no,cellular,17,nov,125,1,-1,0,unknown
Training,68,50,housemaid,married,primary,no,3056,no,no,unknown,9,jun,95,3,-1,0,unknown
Training,69,33,blue-collar,single,secondary,no,164,yes,no,unknown,14,may,461,1,-1,0,unknown
Training,70,40,blue-collar,married,secondary,no,1313,no,no,unknown,14,may,87,1,-1,0,unknown
Training,71,33,management,married,tertiary,no,519,no,no,cellular,12,aug,260,3,-1,0,unknown
Training,72,49,blue-collar,married,primary,no,6429,no,no,cellular,19,nov,108,1,-1,0,unknown
Training,73,26,technician,married,secondary,no,267,yes,no,cellular,28,jul,817,2,-1,0,unknown
Training,74,29,management,married,tertiary,no,8089,yes,no,unknown,28,may,314,2,-1,0,unknown
Training,75,59,unknown,married,tertiary,no,499,no,no,cellular,29,jan,966,1,-1,0,unknown
Training,76,39,technician,divorced,secondary,no,1222,yes,no,unknown,23,may,451,4,-1,0,unknown
Training,77,55,services,divorced,secondary,no,1735,no,no,unknown,20,jun,375,2,-1,0,unknown
Training,78,41,blue-collar,married,primary,yes,76,no,yes,cellular,10,jul,439,1,-1,0,unknown
Training,79,50,entrepreneur,married,secondary,no,0,yes,yes,cellular,17,nov,344,1,-1,0,unknown
Training,80,52,management,married,tertiary,no,163,no,no,cellular,28,aug,638,6,-1,0,unknown
Training,81,30,self-employed,single,secondary,no,635,no,yes,cellular,14,jul,209,2,-1,0,unknown
Training,82,39,blue-collar,married,secondary,no,276,no,no,cellular,9,jun,334,2,-1,0,unknown
Training,83,48,technician,married,secondary,no,454,yes,no,cellular,10,jul,114,1,-1,0,unknown
Training,84,40,admin.,married,secondary,no,824,yes,no,cellular,17,apr,359,1,-1,0,unknown
Training,85,37,admin.,married,secondary,no,637,no,no,unknown,5,jun,1084,1,-1,0,unknown
Training,86,27,services,married,secondary,no,0,yes,no,unknown,15,may,312,6,-1,0,unknown
Training,87,29,blue-collar,single,secondary,no,735,yes,no,unknown,4,jun,130,3,-1,0,unknown
Training,88,38,management,married,tertiary,yes,-1007,yes,yes,unknown,19,jun,71,1,-1,0,unknown
Training,89,31,management,single,tertiary,no,-1206,yes,no,unknown,23,may,390,1,-1,0,unknown
Training,90,38,blue-collar,married,primary,no,195,yes,no,cellular,15,may,165,2,-1,0,unknown
Training,91,55,services,married,secondary,no,151,yes,no,unknown,15,may,88,2,-1,0,unknown
Training,92,59,admin.,married,secondary,no,1575,yes,no,cellular,22,aug,1241,11,-1,0,unknown
Training,93,50,services,married,secondary,no,1134,no,no,unknown,18,jun,53,2,-1,0,unknown
Training,94,28,blue-collar,single,secondary,no,455,yes,no,cellular,11,jul,166,1,-1,0,unknown
Training,95,49,services,married,secondary,no,388,no,no,telephone,31,jul,1032,4,-1,0,unknown
Training,96,49,admin.,divorced,secondary,no,333,yes,no,unknown,27,may,36,3,-1,0,unknown
Training,97,34,technician,divorced,secondary,no,259,no,no,cellular,11,aug,316,2,-1,0,unknown
Training,98,55,technician,divorced,secondary,no,3450,no,no,cellular,11,aug,110,1,-1,0,unknown
Training,99,49,technician,married,secondary,no,788,no,no,unknown,17,jun,162,7,-1,0,unknown
Training,100,27,technician,single,secondary,no,584,yes,no,unknown,8,may,192,2,-1,0,unknown
Training,101,40,blue-collar,married,secondary,no,395,yes,yes,unknown,23,may,281,1,-1,0,unknown
Training,102,31,management,single,tertiary,no,-173,yes,no,unknown,6,may,396,2,-1,0,unknown
Training,103,42,services,married,secondary,no,-369,no,no,cellular,14,jul,72,3,-1,0,unknown
Training,104,51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure
Training,105,45,self-employed,single,tertiary,no,1009,no,no,cellular,19,nov,125,2,-1,0,unknown
Training,106,36,admin.,married,secondary,no,75,yes,no,unknown,4,jul,52,4,-1,0,unknown
Training,107,57,services,married,secondary,no,140,yes,no,cellular,9,jul,143,1,-1,0,unknown
Training,108,37,blue-collar,married,primary,no,2378,yes,no,unknown,9,may,460,2,-1,0,unknown
Training,109,41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure
Training,110,27,student,single,secondary,no,3754,no,no,cellular,15,mar,106,3,98,1,other
Training,111,48,management,married,tertiary,no,866,no,no,cellular,29,jan,146,2,-1,0,unknown
Training,112,39,services,divorced,secondary,no,2140,yes,no,cellular,16,apr,539,1,-1,0,unknown
Training,113,25,blue-collar,married,primary,no,-83,yes,no,unknown,11,jun,211,17,-1,0,unknown
Training,114,33,management,single,secondary,no,0,yes,no,unknown,26,may,816,2,-1,0,unknown
Training,115,35,blue-collar,married,secondary,no,485,yes,no,cellular,16,apr,49,1,-1,0,unknown
Training,116,53,housemaid,married,primary,no,421,no,no,cellular,6,aug,376,4,-1,0,unknown
Training,117,52,unknown,married,tertiary,no,1618,no,no,cellular,29,jan,184,2,-1,0,unknown
Training,118,31,management,single,tertiary,no,0,no,no,cellular,25,aug,101,6,-1,0,unknown
Training,119,35,admin.,single,secondary,no,2452,yes,no,unknown,5,jun,91,2,-1,0,unknown
Training,120,23,admin.,single,secondary,no,5,yes,no,unknown,13,may,93,1,-1,0,unknown
Training,121,26,admin.,single,secondary,no,96,no,no,cellular,6,may,606,1,345,1,failure
Training,122,47,blue-collar,married,primary,no,1865,yes,no,unknown,8,may,380,3,-1,0,unknown
Training,123,57,retired,married,secondary,no,-37,no,yes,cellular,7,jul,354,1,-1,0,unknown
Training,124,36,technician,married,secondary,no,0,no,no,cellular,2,apr,748,1,-1,0,unknown
Training,125,51,entrepreneur,married,tertiary,no,3,no,no,cellular,19,nov,276,2,-1,0,unknown
Training,126,41,services,married,secondary,no,4283,yes,no,unknown,12,jun,112,1,-1,0,unknown
Training,127,43,blue-collar,married,primary,no,1,yes,yes,cellular,14,may,649,2,-1,0,unknown
Training,128,33,management,married,tertiary,no,415,no,no,cellular,4,may,75,5,167,1,other
Training,129,46,technician,married,secondary,no,9299,no,no,cellular,19,jul,1148,1,276,2,other
Training,130,56,management,married,tertiary,no,616,no,no,cellular,30,apr,225,1,83,1,success
Training,131,26,student,single,secondary,no,620,no,no,cellular,26,aug,76,1,96,2,success
Training,132,55,technician,divorced,secondary,no,2730,no,no,cellular,4,aug,430,2,-1,0,unknown
Training,133,31,self-employed,single,tertiary,no,96,no,no,cellular,5,feb,577,1,-1,0,unknown
Training,134,36,management,married,tertiary,no,549,yes,no,cellular,18,nov,72,2,-1,0,unknown
Training,135,40,blue-collar,divorced,primary,no,21,yes,no,unknown,9,may,584,1,-1,0,unknown
Training,136,38,entrepreneur,single,primary,no,154,yes,no,cellular,11,may,197,1,-1,0,unknown
Training,137,36,management,single,tertiary,no,741,no,no,cellular,11,aug,214,2,-1,0,unknown
Training,138,60,management,married,tertiary,no,1573,no,no,telephone,7,jul,79,15,-1,0,unknown
Training,139,36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown
Training,140,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown
Training,141,55,management,married,tertiary,no,2537,no,no,cellular,19,aug,97,5,-1,0,unknown
Training,142,47,blue-collar,married,secondary,no,1125,yes,no,cellular,29,jan,1101,1,-1,0,unknown
Training,143,49,admin.,married,secondary,no,1632,no,no,unknown,6,jun,47,1,-1,0,unknown
Training,144,28,management,single,tertiary,no,185,no,no,cellular,30,jan,651,2,-1,0,unknown
Training,145,40,management,married,tertiary,no,413,yes,no,unknown,14,may,150,1,-1,0,unknown
Training,146,27,management,single,tertiary,no,450,yes,no,unknown,3,jun,49,1,-1,0,unknown
Training,147,46,admin.,married,secondary,no,9319,yes,no,cellular,21,nov,31,7,-1,0,unknown
Training,148,20,student,single,tertiary,no,79,yes,no,unknown,14,may,168,3,-1,0,unknown
Training,149,32,admin.,single,secondary,no,-648,yes,no,unknown,28,may,439,2,-1,0,unknown
Training,150,31,entrepreneur,single,tertiary,no,150,yes,no,unknown,23,may,83,2,-1,0,unknown
Training,151,27,entrepreneur,single,tertiary,no,0,yes,no,unknown,4,jun,103,2,-1,0,unknown
Training,152,42,admin.,married,secondary,no,100,yes,no,cellular,3,feb,126,1,-1,0,unknown
Training,153,34,services,married,secondary,no,145,no,yes,cellular,22,jul,152,2,-1,0,unknown
Training,154,42,management,married,tertiary,no,6080,no,no,cellular,21,nov,98,3,-1,0,unknown
Training,155,39,technician,married,secondary,no,-1451,yes,yes,cellular,30,jul,65,5,-1,0,unknown
Training,156,55,admin.,married,primary,no,319,no,no,cellular,21,nov,124,3,-1,0,unknown
Training,157,54,management,married,tertiary,no,-305,yes,no,unknown,26,may,280,3,-1,0,unknown
Training,158,44,technician,married,secondary,no,533,yes,no,cellular,8,may,153,4,171,3,failure
Training,159,40,entrepreneur,divorced,tertiary,no,992,yes,no,cellular,31,jul,196,2,-1,0,unknown
Training,160,47,technician,married,secondary,no,1571,yes,no,cellular,11,may,261,1,369,2,failure
Training,161,29,management,single,tertiary,no,1895,no,no,cellular,28,jul,97,6,-1,0,unknown
Training,162,42,blue-collar,married,primary,no,-404,yes,yes,cellular,10,jul,562,1,-1,0,unknown
Training,163,44,management,divorced,tertiary,no,0,yes,yes,cellular,19,nov,128,1,-1,0,unknown
Training,164,58,unknown,married,unknown,no,68,no,no,cellular,2,apr,268,1,-1,0,unknown
Training,165,59,retired,divorced,primary,no,-110,no,yes,unknown,4,jul,195,1,-1,0,unknown
Training,166,56,admin.,married,secondary,no,2796,no,no,telephone,31,jul,39,3,-1,0,unknown
Training,167,29,technician,single,tertiary,no,452,yes,no,cellular,11,may,59,1,-1,0,unknown
Training,168,33,technician,single,secondary,no,1500,no,no,cellular,7,aug,133,4,-1,0,unknown
Training,169,34,blue-collar,divorced,secondary,no,176,yes,no,cellular,15,may,67,1,368,5,failure
Training,170,47,admin.,married,secondary,no,-245,yes,no,cellular,17,apr,91,1,-1,0,unknown
Training,171,41,admin.,married,secondary,no,-18,yes,yes,unknown,2,jun,83,6,-1,0,unknown
Training,172,34,management,married,tertiary,no,53,yes,yes,cellular,29,aug,256,2,-1,0,unknown
Training,173,72,retired,married,tertiary,no,3561,no,no,telephone,15,sep,511,3,184,7,success
Training,174,43,management,single,tertiary,no,1304,no,no,cellular,6,aug,501,2,-1,0,unknown
Training,175,32,admin.,single,secondary,no,566,yes,no,cellular,29,jan,61,1,-1,0,unknown
Training,176,41,management,married,tertiary,no,2470,yes,no,cellular,6,may,22,2,-1,0,unknown
Training,177,47,blue-collar,married,secondary,no,0,yes,no,cellular,9,feb,168,4,180,2,other
Training,178,34,management,single,tertiary,no,0,yes,no,unknown,23,may,346,1,-1,0,unknown
Training,179,29,unknown,single,secondary,no,1502,no,no,cellular,28,jan,59,1,-1,0,unknown
Training,180,51,blue-collar,married,unknown,no,2547,yes,no,unknown,15,may,491,2,-1,0,unknown
Training,181,46,admin.,divorced,secondary,no,3280,no,no,cellular,1,jun,110,1,-1,0,unknown
Training,182,30,services,married,secondary,no,586,yes,no,unknown,28,may,187,4,-1,0,unknown
Training,183,35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success
Training,184,52,retired,married,primary,no,383,yes,yes,cellular,17,apr,299,2,-1,0,unknown
Training,185,34,blue-collar,divorced,secondary,no,882,no,yes,telephone,20,oct,24,1,-1,0,unknown
Training,186,50,blue-collar,married,primary,no,888,no,yes,telephone,10,jul,160,3,-1,0,unknown
Training,187,26,housemaid,married,secondary,no,-759,yes,no,cellular,11,jul,191,1,-1,0,unknown
Training,188,28,admin.,single,secondary,no,404,no,yes,cellular,9,jul,188,1,-1,0,unknown
Training,189,74,retired,divorced,primary,no,29080,no,no,cellular,30,jun,301,5,93,4,other
Training,190,28,blue-collar,married,secondary,no,228,yes,no,unknown,3,jun,328,9,-1,0,unknown
Training,191,33,services,single,secondary,no,239,yes,no,cellular,15,may,101,2,-1,0,unknown
Training,192,31,technician,single,secondary,no,550,yes,yes,telephone,11,may,243,1,-1,0,unknown
Training,193,33,services,divorced,secondary,no,44,no,yes,cellular,23,jul,529,1,-1,0,unknown
Training,194,29,technician,married,tertiary,no,-246,yes,no,unknown,6,jun,311,3,-1,0,unknown
Training,195,41,services,single,secondary,no,-278,yes,no,cellular,7,may,17,5,360,3,failure
Training,196,43,admin.,divorced,secondary,no,146,yes,no,cellular,7,may,274,3,358,2,failure
Training,197,56,services,married,secondary,no,4309,yes,no,unknown,9,jun,465,6,-1,0,unknown
Training,198,30,blue-collar,married,secondary,no,501,yes,yes,unknown,27,may,514,1,-1,0,unknown
Training,199,54,services,married,secondary,no,158,yes,no,unknown,19,may,198,1,-1,0,unknown
Training,200,46,housemaid,single,tertiary,no,3232,no,no,telephone,15,jun,94,2,-1,0,unknown
Training,201,32,self-employed,single,secondary,no,518,yes,no,cellular,18,may,34,7,-1,0,unknown
Training,202,25,management,single,tertiary,no,1650,yes,no,unknown,12,oct,5,1,-1,0,unknown
Training,203,35,self-employed,single,tertiary,no,538,yes,yes,cellular,19,nov,308,1,195,9,failure
Training,204,42,blue-collar,married,primary,no,530,no,no,unknown,11,jun,850,8,-1,0,unknown
Training,205,59,admin.,married,secondary,no,2145,no,no,telephone,17,nov,273,2,-1,0,unknown
Training,206,59,management,divorced,secondary,no,0,yes,no,unknown,28,may,248,6,-1,0,unknown
Training,207,30,services,single,secondary,no,9720,no,yes,cellular,20,nov,255,2,-1,0,unknown
Training,208,34,blue-collar,married,secondary,no,563,no,yes,cellular,5,feb,384,1,2,2,failure
Training,209,35,blue-collar,married,primary,no,602,yes,no,cellular,14,may,467,6,-1,0,unknown
Training,210,60,technician,married,primary,no,4243,yes,no,cellular,4,feb,387,1,251,1,failure
Training,211,30,technician,single,unknown,no,-48,yes,no,unknown,6,may,152,2,-1,0,unknown
Training,212,42,technician,married,secondary,no,5,no,no,cellular,21,aug,98,2,-1,0,unknown
Training,213,48,management,married,secondary,no,3663,yes,no,telephone,7,may,25,5,169,1,failure
Training,214,41,management,married,tertiary,no,653,yes,no,telephone,17,nov,60,2,-1,0,unknown
Training,215,57,self-employed,married,tertiary,no,192,yes,no,cellular,7,may,320,1,-1,0,unknown
Training,216,28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other
Training,217,32,management,divorced,secondary,no,-352,no,yes,cellular,6,aug,275,5,-1,0,unknown
Training,218,38,unemployed,married,primary,no,7005,yes,no,cellular,25,jan,696,1,202,2,success
Training,219,24,student,single,secondary,no,125,no,no,cellular,11,aug,477,1,-1,0,unknown
Training,220,41,entrepreneur,married,tertiary,no,121,yes,no,cellular,5,may,456,1,287,1,failure
Training,221,33,management,single,tertiary,no,134,no,no,cellular,18,aug,79,2,-1,0,unknown
Training,222,45,services,married,secondary,no,-1036,yes,no,unknown,9,jun,65,17,-1,0,unknown
Training,223,42,blue-collar,married,secondary,no,205,yes,yes,unknown,29,may,313,2,-1,0,unknown
Training,224,33,management,single,tertiary,no,12686,yes,no,cellular,5,may,470,2,166,2,failure
Training,225,61,management,married,tertiary,no,0,no,no,cellular,16,oct,136,2,-1,0,unknown
Training,226,56,retired,married,secondary,no,0,yes,no,unknown,7,may,333,4,-1,0,unknown
Training,227,36,technician,single,secondary,no,94,yes,no,cellular,20,apr,274,1,-1,0,unknown
Training,228,40,blue-collar,married,primary,no,743,no,no,unknown,5,jun,18,2,-1,0,unknown
Training,229,42,blue-collar,married,primary,no,1017,yes,no,unknown,3,jun,11,18,-1,0,unknown
Training,230,41,admin.,divorced,secondary,no,303,no,no,unknown,26,jun,182,2,-1,0,unknown
Training,231,31,blue-collar,married,secondary,no,1358,yes,no,unknown,2,jun,527,1,-1,0,unknown
Training,232,38,blue-collar,single,secondary,no,328,yes,no,cellular,11,may,776,4,349,1,other
Training,233,53,entrepreneur,married,tertiary,no,1046,yes,yes,cellular,30,jul,50,20,-1,0,unknown
Training,234,51,services,married,secondary,no,272,no,yes,cellular,8,jul,217,1,-1,0,unknown
Training,235,31,admin.,single,tertiary,no,1583,yes,no,unknown,21,may,207,1,-1,0,unknown
Training,236,35,technician,single,secondary,no,433,yes,no,unknown,8,may,163,2,-1,0,unknown
Training,237,59,retired,married,secondary,no,1121,yes,no,cellular,15,jul,249,2,-1,0,unknown
Training,238,63,retired,married,secondary,no,708,no,no,cellular,17,nov,168,2,-1,0,unknown
Training,239,37,technician,single,secondary,no,884,yes,yes,cellular,31,jul,128,2,-1,0,unknown
Training,240,38,management,married,tertiary,no,5432,yes,yes,cellular,17,apr,707,1,149,2,failure
Training,241,40,technician,married,secondary,no,286,no,no,cellular,30,jul,106,4,-1,0,unknown
Training,242,34,blue-collar,divorced,secondary,no,-131,yes,no,cellular,7,may,132,1,356,1,failure
Training,243,38,blue-collar,married,secondary,no,-210,yes,no,unknown,8,may,21,1,-1,0,unknown
Training,244,35,technician,single,secondary,no,1717,no,no,cellular,14,aug,206,2,-1,0,unknown
Training,245,29,technician,single,secondary,no,5,yes,yes,cellular,28,jul,54,2,-1,0,unknown
Training,246,50,technician,divorced,tertiary,no,291,no,yes,cellular,17,jul,219,1,-1,0,unknown
Training,247,27,entrepreneur,single,unknown,no,1007,no,no,cellular,8,jul,154,1,-1,0,unknown
Training,248,36,management,single,tertiary,no,579,no,no,unknown,12,apr,481,1,-1,0,unknown
Training,249,36,blue-collar,married,tertiary,no,-534,yes,no,cellular,4,feb,22,1,-1,0,unknown
Training,250,56,services,married,primary,no,444,yes,no,cellular,19,nov,88,1,166,1,failure
Training,251,34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown
Training,252,63,self-employed,married,tertiary,no,661,no,no,cellular,2,mar,56,2,-1,0,unknown
Training,253,33,technician,divorced,secondary,no,7,yes,yes,unknown,6,may,87,1,-1,0,unknown
Training,254,57,management,married,tertiary,no,1636,no,no,cellular,17,nov,123,1,-1,0,unknown
Training,255,27,admin.,single,secondary,no,454,no,yes,cellular,15,jul,331,2,-1,0,unknown
Training,256,30,technician,married,secondary,no,2326,no,no,cellular,22,jun,67,1,108,1,success
Training,257,54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure
Training,258,46,admin.,married,secondary,no,1328,yes,no,unknown,28,may,82,6,-1,0,unknown
Training,259,33,management,married,secondary,no,-14,yes,no,cellular,20,apr,856,3,-1,0,unknown
Training,260,55,blue-collar,married,secondary,no,3917,yes,no,cellular,18,may,565,1,-1,0,unknown
Training,261,61,housemaid,married,unknown,no,0,no,no,unknown,5,jun,118,1,-1,0,unknown
Training,262,26,management,single,tertiary,no,141,no,no,cellular,12,aug,74,2,-1,0,unknown
Training,263,40,services,married,secondary,no,429,no,no,unknown,5,jun,272,2,-1,0,unknown
Training,264,36,management,married,tertiary,no,59,yes,yes,unknown,4,jul,100,1,-1,0,unknown
Training,265,46,management,married,unknown,no,638,yes,no,cellular,28,jan,68,1,-1,0,unknown
Training,266,36,unemployed,married,secondary,no,923,no,no,unknown,27,sep,6,1,-1,0,unknown
Training,267,26,student,single,secondary,no,132,no,no,cellular,1,oct,194,1,119,1,success
Training,268,39,services,married,secondary,no,20928,no,no,cellular,14,may,1166,1,352,1,other
Training,269,57,admin.,married,secondary,no,1504,yes,no,cellular,29,jan,52,1,245,2,failure
Training,270,58,admin.,married,unknown,no,2180,no,no,cellular,18,aug,273,4,-1,0,unknown
Training,271,53,management,married,tertiary,no,115,yes,no,unknown,6,may,336,3,-1,0,unknown
Training,272,37,blue-collar,single,secondary,no,134,yes,no,unknown,8,may,200,1,-1,0,unknown
Training,273,33,services,single,secondary,no,459,yes,no,cellular,29,jan,241,1,266,2,failure
Training,274,32,admin.,single,secondary,no,131,yes,no,cellular,22,jun,522,1,183,2,success
Training,275,21,services,single,secondary,no,3033,yes,no,cellular,6,may,347,1,-1,0,unknown
Training,276,43,services,single,secondary,no,518,yes,no,cellular,11,may,295,1,370,1,failure
Training,277,34,services,single,secondary,no,1239,yes,no,unknown,23,may,164,1,-1,0,unknown
Training,278,57,technician,married,secondary,no,272,no,yes,telephone,22,jul,563,1,-1,0,unknown
Training,279,38,blue-collar,married,secondary,no,452,yes,no,cellular,9,feb,69,4,-1,0,unknown
Training,280,33,blue-collar,single,secondary,no,1211,yes,no,cellular,15,may,39,1,361,4,failure
Training,281,48,blue-collar,married,primary,no,160,yes,no,unknown,4,jun,109,3,-1,0,unknown
Training,282,24,technician,single,secondary,no,681,yes,no,unknown,4,jun,180,2,-1,0,unknown
Training,283,50,retired,single,primary,no,208,no,no,unknown,9,jun,51,1,-1,0,unknown
Training,284,56,management,divorced,tertiary,no,3885,yes,no,cellular,10,jul,51,1,-1,0,unknown
Training,285,34,blue-collar,single,secondary,no,297,yes,no,unknown,9,may,407,4,-1,0,unknown
Training,286,42,blue-collar,married,primary,no,807,yes,no,cellular,19,nov,1057,1,-1,0,unknown
Training,287,31,management,married,tertiary,no,1755,yes,no,unknown,21,may,588,2,-1,0,unknown
Training,288,36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,other
Training,289,40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,408,1,117,1,failure
Training,290,34,admin.,single,tertiary,no,625,no,yes,unknown,31,aug,34,1,-1,0,unknown
Training,291,32,management,single,tertiary,no,728,yes,no,unknown,21,may,125,1,-1,0,unknown
